Country,D1990,D1995,D2000,D2005,D2010,D2011,D2012,D2013,D2014,D2015,D2016,D2017,D2018
Austria,14.4,15.2,15.5,14.9,15.4,15.4,15.4,15.6,15.6,15.6,15.8,15.8,16.0
Belgium,14.1,17.1,17.4,17.9,18.1,18.2,18.3,18.4,18.7,18.8,18.8,18.8,18.8
Bulgaria,12.1,11.7,12.7,13.5,14.2,14.3,14.3,14.7,14.9,14.8,14.8,14.6,14.6
Cyprus,9.1,12.4,12.2,13.3,13.9,13.7,13.6,13.7,13.9,14.1,14.2,14.3,14.3
Czechia,12.3,12.3,13.8,14.7,15.6,15.6,15.6,15.9,16.1,16.1,16.2,16.1,16.1
Denmark,13.9,14.9,15.7,16.3,16.3,17.8,18.0,18.5,18.3,18.4,18.4,18.4,18.4
Estonia,13.0,12.5,14.2,15.1,15.4,15.6,15.6,15.6,15.4,15.3,15.3,15.3,15.3
Finland,14.3,15.5,17.0,16.6,16.3,16.4,16.5,18.5,18.5,18.5,18.5,18.5,18.5
France,13.9,15.5,15.3,15.8,14.8,14.8,14.9,15.1,15.2,15.1,15.1,15.1,15.2
Germany,14.7,16.1,16.5,16.7,17.0,17.1,17.1,16.9,17.0,17.0,17.0,17.0,17.2
Greece,12.4,12.6,13.7,15.8,16.3,16.4,16.6,16.8,17.5,17.5,17.5,17.5,17.5
Hungary,11.1,12.3,14.0,14.7,14.9,14.9,14.9,15.2,15.0,14.9,14.8,14.8,14.8
Ireland,11.9,12.9,15.9,17.2,18.3,18.4,18.6,18.6,18.7,19.5,19.5,19.5,18.7
Italy,12.8,14.0,14.7,15.5,15.9,16.1,16.0,15.9,15.9,15.9,15.9,15.9,15.9
Latvia,12.4,12.0,13.2,14.7,14.7,14.7,14.6,15.1,15.1,15.1,15.1,15.1,15.3
Lithuania,12.8,11.6,14.1,15.4,15.9,16.1,16.1,16.2,16.1,16.1,16.0,16.0,16.1
Luxembourg,0.0,0.0,13.3,13.4,13.9,13.8,13.7,13.7,13.7,13.9,13.9,13.9,14.1
Malta,13.0,13.6,13.8,14.6,15.4,14.6,14.7,14.8,15.0,15.1,15.4,15.4,15.4
Netherlands,15.0,17.1,16.8,16.5,16.9,17.7,17.7,17.8,17.8,17.8,17.8,17.8,17.8
Poland,12.0,12.8,14.3,14.4,14.6,14.4,14.5,15.4,15.2,15.4,15.6,15.6,15.6
Portugal,11.6,14.6,15.3,14.9,15.8,15.9,16.1,16.7,16.5,16.5,16.5,16.4,16.4
Romania,12.0,10.3,11.5,13.3,14.9,14.6,14.1,14.1,14.2,14.2,13.9,13.9,13.9
Slovakia,11.5,11.9,13.1,13.9,14.4,14.4,14.4,14.4,14.3,14.4,14.4,14.4,14.1
Slovenia,11.7,12.3,14.2,16.0,16.3,16.0,16.2,16.9,16.6,16.5,16.5,16.5,16.7
Spain,13.8,15.0,15.3,15.4,16.4,16.8,17.1,17.2,17.3,17.5,17.5,17.5,17.5
Sweden,12.7,15.1,17.2,15.2,15.2,15.0,15.0,17.2,17.4,17.8,18.1,18.1,18.0
UnitedKingdom,13.6,14.8,15.8,16.1,16.0,15.4,15.4,17.2,17.4,17.0,17.1,17.1,17.1
