Year,Country,Value
1990,Austria,14.4
1990,Belgium,14.1
1990,Bulgaria,12.1
1990,Cyprus,9.1
1990,Czechia,12.3
1990,Denmark,13.9
1990,Estonia,13.0
1990,Finland,14.3
1990,France,13.9
1990,Germany,14.7
1990,Greece,12.4
1990,Hungary,11.1
1990,Ireland,11.9
1990,Italy,12.8
1990,Latvia,12.4
1990,Lithuania,12.8
1990,Luxembourg,
1990,Malta,13.0
1990,Netherlands,15.0
1990,Poland,12.0
1990,Portugal,11.6
1990,Romania,12.0
1990,Slovakia,11.5
1990,Slovenia,11.7
1990,Spain,13.8
1990,Sweden,12.7
1990,UnitedKingdom,13.6
1995,Austria,15.2
1995,Belgium,17.1
1995,Bulgaria,11.7
1995,Cyprus,12.4
1995,Czechia,12.3
1995,Denmark,14.9
1995,Estonia,12.5
1995,Finland,15.5
1995,France,15.5
1995,Germany,16.1
1995,Greece,12.6
1995,Hungary,12.3
1995,Ireland,12.9
1995,Italy,14.0
1995,Latvia,12.0
1995,Lithuania,11.6
1995,Luxembourg,
1995,Malta,13.6
1995,Netherlands,17.1
1995,Poland,12.8
1995,Portugal,14.6
1995,Romania,10.3
1995,Slovakia,11.9
1995,Slovenia,12.3
1995,Spain,15.0
1995,Sweden,15.1,
1995,UnitedKingdom,14.8
2000,Austria,15.5
2000,Belgium,17.4
2000,Bulgaria,12.7
2000,Cyprus,12.2
2000,Czechia,13.8
2000,Denmark,15.7
2000,Estonia,14.2
2000,Finland,17.0
2000,France,15.3
2000,Germany,16.5
2000,Greece,13.7
2000,Hungary,14.0
2000,Ireland,15.9
2000,Italy,14.7
2000,Latvia,13.2
2000,Lithuania,14.1
2000,Luxembourg,13.3
2000,Malta,13.8
2000,Netherlands,16.8
2000,Poland,14.3
2000,Portugal,15.3
2000,Romania,11.5
2000,Slovakia,13.1
2000,Slovenia,14.2
2000,Spain,15.3
2000,Sweden,17.2
2000,UnitedKingdom,15.8
2005,Austria,14.9
2005,Belgium,17.9
2005,Bulgaria,13.5
2005,Cyprus,13.3
2005,Czechia,14.7
2005,Denmark,16.3
2005,Estonia,15.1
2005,Finland,16.6
2005,France,15.8
2005,Germany,16.7
2005,Greece,15.8
2005,Hungary,14.7
2005,Ireland,17.2
2005,Italy,15.5
2005,Latvia,14.7
2005,Lithuania,15.4
2005,Luxembourg,13.4
2005,Malta,14.6
2005,Netherlands,16.5
2005,Poland,14.4
2005,Portugal,14.9
2005,Romania,13.3
2005,Slovakia,13.9
2005,Slovenia,16.0
2005,Spain,15.4
2005,Sweden,15.2
2005,UnitedKingdom,16.1
2010,Austria,15.4
2010,Belgium,18.1
2010,Bulgaria,14.2
2010,Cyprus,13.9
2010,Czechia,15.6
2010,Denmark,16.3
2010,Estonia,15.4
2010,Finland,16.3
2010,France,14.8
2010,Germany,17.0
2010,Greece,16.3
2010,Hungary,14.9
2010,Ireland,18.3
2010,Italy,15.9
2010,Latvia,14.7
2010,Lithuania,15.9
2010,Luxembourg,13.9
2010,Malta,15.4
2010,Netherlands,16.9
2010,Poland,14.6
2010,Portugal,15.8
2010,Romania,14.9
2010,Slovakia,14.4
2010,Slovenia,16.3
2010,Spain,16.4
2010,Sweden,15.2
2010,UnitedKingdom,16.0
2011,Austria,15.4
2011,Belgium,18.2
2011,Bulgaria,14.3
2011,Cyprus,13.7
2011,Czechia,15.6
2011,Denmark,17.8
2011,Estonia,15.6
2011,Finland,16.4
2011,France,14.8
2011,Germany,17.1
2011,Greece,16.4
2011,Hungary,14.9
2011,Ireland,18.4
2011,Italy,16.1
2011,Latvia,14.7
2011,Lithuania,16.1
2011,Luxembourg,13.8
2011,Malta,14.6
2011,Netherlands,17.7
2011,Poland,14.4
2011,Portugal,15.9
2011,Romania,14.6
2011,Slovakia,14.4
